1920 1080
result_img/img_200_1_0_PLATE.jpg 1070 455
result_img/img_210_2_0_PLATE.jpg 1084 464
result_img/img_211_3_0_PLATE.jpg 1074 471
result_img/img_212_4_0_PLATE.jpg 1080 470
result_img/img_213_5_0_PLATE.jpg 1080 469
result_img/img_215_6_0_PLATE.jpg 1055 512
result_img/img_216_7_0_PLATE.jpg 1048 513
result_img/img_217_8_0_PLATE.jpg 1050 514
result_img/img_218_9_0_PLATE.jpg 1053 516
result_img/img_219_10_0_PLATE.jpg 1044 514
result_img/img_220_11_0_PLATE.jpg 1045 513
result_img/img_221_12_0_PLATE.jpg 1046 513
result_img/img_222_13_0_PLATE.jpg 1054 515
result_img/img_223_14_0_PLATE.jpg 1052 517
result_img/img_224_15_0_PLATE.jpg 1051 517
result_img/img_225_16_0_PLATE.jpg 1050 517
result_img/img_226_17_0_PLATE.jpg 1050 520
result_img/img_227_18_0_PLATE.jpg 1050 521
result_img/img_228_19_0_PLATE.jpg 1051 521
result_img/img_229_20_0_PLATE.jpg 1050 524
result_img/img_230_21_0_PLATE.jpg 1050 530
result_img/img_231_22_0_PLATE.jpg 1051 531
result_img/img_232_23_0_PLATE.jpg 1054 533
result_img/img_233_24_0_PLATE.jpg 1054 534
result_img/img_234_25_0_PLATE.jpg 1057 541
result_img/img_235_26_0_PLATE.jpg 1058 544
result_img/img_236_27_0_PLATE.jpg 1056 546
result_img/img_237_28_0_PLATE.jpg 1058 550
result_img/img_238_29_0_PLATE.jpg 1059 551
result_img/img_239_30_0_PLATE.jpg 1059 554
result_img/img_240_31_0_PLATE.jpg 1061 551
result_img/img_241_32_0_PLATE.jpg 1065 555
result_img/img_242_33_0_PLATE.jpg 1062 553
result_img/img_243_34_0_PLATE.jpg 1070 558
result_img/img_244_35_0_PLATE.jpg 1067 559
result_img/img_245_36_0_PLATE.jpg 1071 572
result_img/img_246_37_0_PLATE.jpg 1075 575
result_img/img_247_38_0_PLATE.jpg 1073 589
result_img/img_248_39_0_PLATE.jpg 1069 591
result_img/img_249_40_0_PLATE.jpg 1078 593
result_img/img_250_41_0_PLATE.jpg 1079 595
result_img/img_251_42_0_PLATE.jpg 1084 595
result_img/img_252_43_0_PLATE.jpg 1089 595
result_img/img_253_44_0_PLATE.jpg 1089 598
result_img/img_254_45_0_PLATE.jpg 1097 597
result_img/img_255_46_0_PLATE.jpg 1101 595
result_img/img_256_47_0_PLATE.jpg 1107 598
result_img/img_257_48_0_PLATE.jpg 1112 600
result_img/img_258_49_0_PLATE.jpg 1117 601
result_img/img_259_50_0_PLATE.jpg 1123 605
result_img/img_260_51_0_PLATE.jpg 1131 614
result_img/img_261_52_0_PLATE.jpg 1133 621
result_img/img_262_53_0_PLATE.jpg 1129 628
result_img/img_263_54_0_PLATE.jpg 1135 630
result_img/img_264_55_0_PLATE.jpg 1136 633
result_img/img_265_56_0_PLATE.jpg 1138 637
result_img/img_266_57_0_PLATE.jpg 1145 640
result_img/img_267_58_0_PLATE.jpg 1150 641
result_img/img_268_59_0_PLATE.jpg 1151 642
result_img/img_269_60_0_PLATE.jpg 1156 643
result_img/img_270_61_0_PLATE.jpg 1166 649
result_img/img_271_62_0_PLATE.jpg 1170 655
result_img/img_272_63_0_PLATE.jpg 1183 659
result_img/img_273_64_0_PLATE.jpg 1188 667
result_img/img_274_65_0_PLATE.jpg 1194 674
result_img/img_275_66_0_PLATE.jpg 1206 678
result_img/img_276_67_0_PLATE.jpg 1211 679
result_img/img_277_68_0_PLATE.jpg 1219 681
result_img/img_278_69_0_PLATE.jpg 1227 683
result_img/img_279_70_0_PLATE.jpg 1236 685
result_img/img_280_71_0_PLATE.jpg 1242 689
result_img/img_281_72_0_PLATE.jpg 1245 696
result_img/img_282_73_0_PLATE.jpg 1258 702
result_img/img_283_74_0_PLATE.jpg 1270 709
result_img/img_284_75_0_PLATE.jpg 1280 715
result_img/img_285_76_0_PLATE.jpg 1286 719
result_img/img_286_77_0_PLATE.jpg 1300 726
result_img/img_287_78_0_PLATE.jpg 1314 727
result_img/img_288_79_0_PLATE.jpg 1332 725
result_img/img_289_80_0_PLATE.jpg 1345 725
result_img/img_290_81_0_PLATE.jpg 1365 733
result_img/img_291_82_0_PLATE.jpg 1367 743
result_img/img_292_83_0_PLATE.jpg 1384 750
result_img/img_293_84_0_PLATE.jpg 1399 758
result_img/img_294_85_0_PLATE.jpg 1414 765
result_img/img_295_86_0_PLATE.jpg 1428 772
result_img/img_296_87_0_PLATE.jpg 1445 774
result_img/img_297_88_0_PLATE.jpg 1458 778
result_img/img_298_89_0_PLATE.jpg 1481 784
result_img/img_299_90_0_PLATE.jpg 1497 789
result_img/img_300_91_0_PLATE.jpg 1511 795
result_img/img_301_92_0_PLATE.jpg 1533 804
result_img/img_302_93_0_PLATE.jpg 1559 809
result_img/img_303_94_0_PLATE.jpg 1588 810
result_img/img_304_95_0_PLATE.jpg 1604 816
result_img/img_305_96_0_PLATE.jpg 1632 820
result_img/img_306_97_0_PLATE.jpg 1655 825
result_img/img_307_98_0_PLATE.jpg 1677 834
result_img/img_308_99_0_PLATE.jpg 1709 841
result_img/img_309_100_0_PLATE.jpg 1730 847
result_img/img_310_101_0_PLATE.jpg 1752 851
result_img/img_311_102_0_PLATE.jpg 1790 853
result_img/img_312_103_0_PLATE.jpg 1816 857
result_img/img_313_104_0_PLATE.jpg 1842 862
result_img/img_314_105_0_PLATE.jpg 1880 872
